ID,step,angle,ID_old,time,lon.x,lat.x,x,y,state_m2_v,state_m2_w,state_m3_v,state_m3_w,datetimelo,date,lat.y,lon.y,dawn,sunrise,sunset,dusk,diel,habitat
A69-1602-63776-345,"1.8494598433071","3.01492077295947",A69-1602-63776,2023-06-01 19:40:54,-88.296431413491689,30.387751519841501,375445.917705275001936,3362465.522393050137907,2,1,1,1,2023-06-01 14:40:54,2023-06-01,30.399999999999999,-88.250000000000000,2023-06-01 05:25:50,2023-06-01 05:53:01,2023-06-01 19:51:31,2023-06-01 20:18:41,day,em_veg
A69-1602-63776-345,"0.797373003078129","-2.46674414244942",A69-1602-63776,2023-06-01 19:43:54,-88.296445407692303,30.387762976153802,375444.587641009013169,3362466.807473110035062,2,1,1,1,2023-06-01 14:43:54,2023-06-01,30.399999999999999,-88.250000000000000,2023-06-01 05:25:50,2023-06-01 05:53:01,2023-06-01 19:51:31,2023-06-01 20:18:41,day,em_veg
A69-1602-63776-345,"3.28859277013614","-1.57055844494191",A69-1602-63776,2023-06-01 19:46:54,-88.296437137226306,30.387762387591302,375445.381542297021952,3362466.733146459795535,2,1,1,1,2023-06-01 14:46:54,2023-06-01,30.399999999999999,-88.250000000000000,2023-06-01 05:25:50,2023-06-01 05:53:01,2023-06-01 19:51:31,2023-06-01 20:18:41,day,em_veg
A69-1602-63776-345,"0.643048107145602","-2.84788168848601",A69-1602-63776,2023-06-01 19:49:54,-88.296439929050294,30.387732815642501,375445.075776976998895,3362463.458799200132489,2,1,1,1,2023-06-01 14:49:54,2023-06-01,30.399999999999999,-88.250000000000000,2023-06-01 05:25:50,2023-06-01 05:53:01,2023-06-01 19:51:31,2023-06-01 20:18:41,day,em_veg
A69-1602-63776-345,NA,NA,A69-1602-63776,2023-06-01 19:52:54,-88.296441337499999,30.387738487499998,375444.947645604028367,3362464.088952530175447,2,1,1,1,2023-06-01 14:52:54,2023-06-01,30.399999999999999,-88.250000000000000,2023-06-01 05:25:50,2023-06-01 05:53:01,2023-06-01 19:51:31,2023-06-01 20:18:41,day,em_veg
A69-1602-63776-366,"4.28141003872283",NA,A69-1602-63776,2023-06-06 12:55:30,-88.296446399999994,30.387750199999999,375444.476087593007833,3362465.392601159866899,2,1,2,2,2023-06-06 07:55:30,2023-06-06,30.399999999999999,-88.250000000000000,2023-06-06 05:24:44,2023-06-06 05:52:06,2023-06-06 19:54:03,2023-06-06 20:21:25,day,em_veg
A69-1602-63776-366,"2.30249317570495","2.81962805488379",A69-1602-63776,2023-06-06 12:58:30,-88.296479317777298,30.387776233333501,375441.346291887981351,3362468.314047850202769,2,1,2,2,2023-06-06 07:58:30,2023-06-06,30.399999999999999,-88.250000000000000,2023-06-06 05:24:44,2023-06-06 05:52:06,2023-06-06 19:54:03,2023-06-06 20:21:25,day,em_veg
A69-1602-63776-366,"0.853439755531512","-0.0390791594415976",A69-1602-63776,2023-06-06 13:01:30,-88.296467634693897,30.387758095918400,375442.445820541994181,3362466.291052159853280,2,1,1,1,2023-06-06 08:01:30,2023-06-06,30.399999999999999,-88.250000000000000,2023-06-06 05:24:44,2023-06-06 05:52:06,2023-06-06 19:54:03,2023-06-06 20:21:25,day,em_veg
A69-1602-63776-366,"0.722430992614905","0.474081677139003",A69-1602-63776,2023-06-06 13:04:30,-88.296463610526004,30.387751231579099,375442.823763824009802,3362465.525860489811748,2,1,1,1,2023-06-06 08:04:30,2023-06-06,30.399999999999999,-88.250000000000000,2023-06-06 05:24:44,2023-06-06 05:52:06,2023-06-06 19:54:03,2023-06-06 20:21:25,day,em_veg
A69-1602-63776-366,"0.599255899443236","-0.905854873024002",A69-1602-63776,2023-06-06 13:07:30,-88.296457520000004,30.387747409999999,375443.404108864022419,3362465.095620819833130,2,1,1,1,2023-06-06 08:07:30,2023-06-06,30.399999999999999,-88.250000000000000,2023-06-06 05:24:44,2023-06-06 05:52:06,2023-06-06 19:54:03,2023-06-06 20:21:25,day,em_veg
