"","ID","ID_old","time","x","y","lon","lat"
"1","A69-1602-60031-7","A69-1602-60031","2022-08-16 18:13:55",375512.3003365,3362454.49638762,-88.2957393,30.3876589
"2","A69-1602-60031-7","A69-1602-60031","2022-08-16 18:16:55",375512.559564706,3362454.72451271,-88.2957366295456,30.3876609848485
"3","A69-1602-60031-7","A69-1602-60031","2022-08-16 18:19:55",375511.857738398,3362454.92062599,-88.2957439563379,30.3876626816902
"4","A69-1602-60031-7","A69-1602-60031","2022-08-16 18:22:55",375511.97530473,3362455.29399415,-88.2957427773585,30.3876660622641
"5","A69-1602-60031-7","A69-1602-60031","2022-08-16 18:25:55",375512.509074333,3362454.16704935,-88.2957370885907,30.3876559503356
"6","A69-1602-60031-7","A69-1602-60031","2022-08-16 18:28:55",375513.068713793,3362454.72670054,-88.2957313314286,30.3876610571429
"7","A69-1602-60031-7","A69-1602-60031","2022-08-16 18:31:55",375512.524244336,3362454.16196417,-88.295736930121,30.3876559060243
"8","A69-1602-60031-7","A69-1602-60031","2022-08-16 18:34:55",375511.757008036,3362453.3095902,-88.2957448127517,30.3876481369128
"9","A69-1602-60031-7","A69-1602-60031","2022-08-16 18:37:55",375512.18984032,3362453.52884535,-88.2957403346591,30.3876501596591
"10","A69-1602-60031-56","A69-1602-60031","2022-08-22 03:04:18",375521.714131039,3362453.34675689,-88.2956412,30.3876495
"11","A69-1602-60031-56","A69-1602-60031","2022-08-22 03:07:18",375523.716614213,3362457.34655711,-88.2956208376815,30.3876857919299
"12","A69-1602-60031-56","A69-1602-60031","2022-08-22 03:10:18",375521.611591464,3362457.90893988,-88.295642810222,30.3876906483416
"13","A69-1602-60031-56","A69-1602-60031","2022-08-22 03:13:18",375522.362245376,3362460.36868343,-88.2956352915098,30.38771291704
"14","A69-1602-60031-56","A69-1602-60031","2022-08-22 03:16:18",375522.441646288,3362463.85958347,-88.2956348808518,30.3877444193017
"15","A69-1602-60031-56","A69-1602-60031","2022-08-22 03:19:18",375522.649809179,3362464.59828562,-88.2956328025838,30.3877511051817
"16","A69-1602-60031-56","A69-1602-60031","2022-08-22 03:22:18",375522.881759402,3362462.76625524,-88.2956301707141,30.3877346009823
"17","A69-1602-60031-56","A69-1602-60031","2022-08-22 03:25:18",375523.425836985,3362462.39074866,-88.2956244641482,30.3877312694088
"18","A69-1602-60031-56","A69-1602-60031","2022-08-22 03:28:18",375523.291934692,3362462.97598319,-88.2956259272574,30.3877365354342
"19","A69-1602-60031-68","A69-1602-60031","2022-08-23 03:54:52",375523.114430981,3362446.39195827,-88.2956258,30.3875869
"20","A69-1602-60031-68","A69-1602-60031","2022-08-23 03:57:52",375521.620452625,3362447.04011703,-88.2956414240003,30.3875925933319
"21","A69-1602-60031-68","A69-1602-60031","2022-08-23 04:00:52",375521.49577746,3362449.21783039,-88.2956429806832,30.3876122272734
"22","A69-1602-60031-68","A69-1602-60031","2022-08-23 04:03:52",375522.200460965,3362451.10138004,-88.2956358717602,30.3876292929433
"23","A69-1602-60031-68","A69-1602-60031","2022-08-23 04:06:52",375519.475297128,3362450.84867884,-88.2956642006418,30.3876267318504
"24","A69-1602-60031-68","A69-1602-60031","2022-08-23 04:09:52",375518.155538324,3362448.42042048,-88.2956776453848,30.3876046884599
"25","A69-1602-60031-84","A69-1602-60031","2022-08-24 02:18:29",375512.719386884,3362445.76824055,-88.2957339,30.3875802
"26","A69-1602-60031-84","A69-1602-60031","2022-08-24 02:21:29",375513.885257113,3362444.9153629,-88.2957216660232,30.3875726258862
"27","A69-1602-60031-84","A69-1602-60031","2022-08-24 02:24:29",375513.244563009,3362444.51380225,-88.295728285485,30.3875689369679
"28","A69-1602-60031-84","A69-1602-60031","2022-08-24 02:27:29",375513.99985364,3362451.53988791,-88.2957212622368,30.3876324025964
"29","A69-1602-60031-84","A69-1602-60031","2022-08-24 02:30:29",375517.288143573,3362454.43770421,-88.2956873882071,30.387658885424
"30","A69-1602-60031-84","A69-1602-60031","2022-08-24 02:33:29",375516.680781569,3362454.88754668,-88.2956937621805,30.3876628811032
